Operator,Lessor/Owner,Manager,Lease Type,Aircraft Model,Aircraft Variant,Serial Number,Tail/Registration Number,Status,Role,Operator Country/Territory,Operator Region,Engine Series,Age,Lease From,Lease To,Lease To Derived
Volotea,AerCap,AerCap,Operating^,A320,A319-100,2253,EC-MUU,In Service,Passenger,Spain,Europe: Western Europe,CFM56-5B,17.583,2016-05-27,,No
Volotea,AerCap,AerCap,Operating^,A320,A319-100,2258,EC-MTC,In Service,Passenger,Spain,Europe: Western Europe,CFM56-5B,17.5,2017-05-16,,No
Allegiant Air,Sunrise Asset Management LLC,Allegiant Air,Operating^,A320,A319-100,2265,N304NV,Inactive,Passenger,United States of America,North America,CFM56-5B,17.5,2014-12-03,,No
Allegiant Air,Sunrise Asset Management LLC,Allegiant Air,Operating^,A320,A319-100,2271,N303NV,Inactive,Passenger,United States of America,North America,CFM56-5B,17.417,2014-10-30,,No
Allegiant Air,Sunrise Asset Management LLC,Sunrise Asset Management LLC,Operating^,A320,A319-100,2289,N312NV,In Service,Passenger,United States of America,North America,CFM56-5B,17.333,2018-01-02,,No
Allegiant Air,Sunrise Asset Management LLC,Sunrise Asset Management LLC,Operating^,A320,A319-100,2300,N313NV,In Service,Passenger,United States of America,North America,CFM56-5B,17.25,2017-12-22,,No
Volotea,AerCap,AerCap,Operating^,A320,A319-100,2318,EC-MTD,In Service,Passenger,Spain,Europe: Western Europe,CFM56-5B,17.167,2017-07-07,,No
Allegiant Air,Sunrise Asset Management LLC,Allegiant Air,Operating^,A320,A319-100,2319,N301NV,In Service,Passenger,United States of America,North America,CFM56-5B,17.167,2012-11-06,,No
HiSky (Romania),Air Lease Corporation,Air Lease Corporation,Operating^,A320,A319-100,2326,ER-SKY,In Service,Passenger,Romania,Europe: Eastern/Central Europe,V2500,17.167,2020-12-22,,No
Volotea,AerCap,AerCap,Operating^,A320,A319-100,2332,EC-MTE,In Service,Passenger,Spain,Europe: Western Europe,CFM56-5B,17.167,2017-03-29,,No
Allegiant Air,Sunrise Asset Management LLC,Sunrise Asset Management LLC,Operating^,A320,A319-100,2360,N314NV,In Service,Passenger,United States of America,North America,CFM56-5B,17.83,2018-11-01,,No
Allegiant Air,Sunrise Asset Management LLC,Sunrise Asset Management LLC,Financial^,A320,A319-100,2378,N338NV,In Service,Passenger,United States of America,North America,CFM56-5B,17,2019-09-27,,No
Volotea,AerCap,AerCap,Operating^,A320,A319-100,2382,EC-MTF,In Service,Passenger,Spain,Europe: Western Europe,CFM56-5B,16.917,2017-03-01,,No
easyJet,World Star Aviation,World Star Aviation,Operating^,A320,A319-100,2385,G-EZPG,Inactive,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,16.917,2005-02-15,,No
Allegiant Air,Sunrise Asset Management LLC,Allegiant Air,Operating^,A320,A319-100,2387,N302NV,In Service,Passenger,United States of America,North America,CFM56-5B,16.917,2013-02-15,,No
Allegiant Air,Sunrise Asset Management LLC,Allegiant Air,Operating^,A320,A319-100,2398,N305NV,In Service,Passenger,United States of America,North America,CFM56-5B,16.833,2015-02-25,,No
easyJet,Industrial and Commercial Bank of China (ICBC),Industrial and Commercial Bank of China (ICBC),Operating,A320,A319-100,2402,G-EZNM,Inactive,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,16.917,2012-07-30,,No
Allegiant Air,Sunrise Asset Management LLC,Sunrise Asset Management LLC,Operating^,A320,A319-100,2412,N315NV,In Service,Passenger,United States of America,North America,CFM56-5B,16.833,2018-10-25,,No
Allegiant Air,Sunrise Asset Management LLC,Allegiant Air,Operating^,A320,A319-100,2420,N306NV,In Service,Passenger,United States of America,North America,CFM56-5B,16.833,2015-03-24,,No
Allegiant Air,Sunrise Asset Management LLC,Allegiant Air,Operating^,A320,A319-100,2427,N307NV,In Service,Passenger,United States of America,North America,CFM56-5B,16.833,2015-09-23,,No
Allegiant Air,Sunrise Asset Management LLC,Allegiant Air,Operating^,A320,A319-100,2450,N308NV,In Service,Passenger,United States of America,North America,CFM56-5B,16.667,2015-11-02,,No
Allegiant Air,UMB Bank Trustee,UMB Bank Trustee,Operating^,A320,A319-100,2477,N317NV,In Service,Passenger,United States of America,North America,CFM56-5B,16.583,2018-04-20,,No
Allegiant Air,UMB Bank Trustee,UMB Bank Trustee,Operating^,A320,A319-100,2481,N316NV,In Service,Passenger,United States of America,North America,CFM56-5B,16.583,2018-03-15,,No
Allegiant Air,UMB Bank Trustee,UMB Bank Trustee,Operating^,A320,A319-100,2492,N318NV,In Service,Passenger,United States of America,North America,CFM56-5B,16.583,2018-04-09,,No
Allegiant Air,UMB Bank Trustee,UMB Bank Trustee,Operating^,A320,A319-100,2503,N319NV,In Service,Passenger,United States of America,North America,CFM56-5B,16.5,2018-03-22,,No
Allegiant Air,Sunrise Asset Management LLC,Sunrise Asset Management LLC,Operating^,A320,A319-100,2514,N320NV,In Service,Passenger,United States of America,North America,CFM56-5B,16.5,2018-11-13,,No
Allegiant Air,Sunrise Asset Management LLC,Sunrise Asset Management LLC,Operating^,A320,A319-100,2527,N321NV,In Service,Passenger,United States of America,North America,CFM56-5B,16.417,2018-12-18,,No
Allegiant Air,Sunrise Asset Management LLC,Sunrise Asset Management LLC,Operating^,A320,A319-100,2528,N322NV,In Service,Passenger,United States of America,North America,CFM56-5B,16.417,2018-11-15,,No
Allegiant Air,Sunrise Asset Management LLC,Sunrise Asset Management LLC,Operating^,A320,A319-100,2538,N323NV,In Service,Passenger,United States of America,North America,CFM56-5B,16.417,2018-12-18,,No
Allegiant Air,Sunrise Asset Management LLC,Allegiant Air,Financial^,A320,A319-100,2556,N327NV,Inactive,Passenger,United States of America,North America,CFM56-5B,16.25,2015-10-28,,No
Lucky Air,Hainan Airlines,Hainan Airlines,Operating^,A320,A319-100,2581,B-6212,Inactive,Passenger,China,Asia: North East Asia,CFM56-5B,16.167,2007-06-25,,No
Allegiant Air,Sunrise Asset Management LLC,Allegiant Air,Financial^,A320,A319-100,2586,N326NV,In Service,Passenger,United States of America,North America,CFM56-5B,16.167,2015-09-30,,No
Eurowings,AerCap,AerCap,Operating^,A320,A319-100,2607,D-AKNT,In Service,Passenger,Germany,Europe: Western Europe,CFM56-5B,16.83,2005-11-21,,No
Lucky Air,Hainan Airlines,Hainan Airlines,Operating^,A320,A319-100,2617,B-6198,Inactive,Passenger,China,Asia: North East Asia,CFM56-5B,16.83,2007-06-25,,No
Allegiant Air,Sunrise Asset Management LLC,Allegiant Air,Financial^,A320,A319-100,2625,N331NV,In Service,Passenger,United States of America,North America,CFM56-5B,16.83,2016-11-21,,No
Eurowings,AerCap,AerCap,Operating^,A320,A319-100,2628,D-AKNU,Inactive,Passenger,Germany,Europe: Western Europe,CFM56-5B,16.83,2005-12-12,,No
Eurowings,AerCap,AerCap,Operating^,A320,A319-100,2632,D-AKNV,Inactive,Passenger,Germany,Europe: Western Europe,CFM56-5B,16.83,2005-12-08,,No
easyJet,Aircastle,Aircastle,Operating^,A320,A319-100,2636,G-EZIY,Inactive,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,16.83,2016-12-20,,No
Allegiant Air,Sunrise Asset Management LLC,Sunrise Asset Management LLC,Financial^,A320,A319-100,2638,N332NV,In Service,Passenger,United States of America,North America,CFM56-5B,16,2017-07-31,,No
Volaris,Unknown,Unknown,Operating^,A320,A319-100,2657,XA-VOI,In Service,Passenger,Mexico,Latin America: Central America,V2500,16,2011-12-15,,No
easyJet,Luton Aircraft Leasing (Ireland) Limited,Deucalion Aviation,Financial^,A320,A319-100,2681,G-EZAB,In Service,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,15.917,2006-02-06,,No
Allegiant Air,Sunrise Asset Management LLC,Allegiant Air,Financial^,A320,A319-100,2702,N311NV,In Service,Passenger,United States of America,North America,CFM56-5B,15.833,2016-02-26,,No
Allegiant Air,Sunrise Asset Management LLC,Allegiant Air,Financial^,A320,A319-100,2709,N324NV,In Service,Passenger,United States of America,North America,CFM56-5B,15.833,2016-03-08,,No
easyJet,Luton Aircraft Leasing (Ireland) Limited,Deucalion Aviation,Financial^,A320,A319-100,2727,G-EZAG,In Service,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,15.75,2006-03-31,,No
Allegiant Air,Sunrise Asset Management LLC,Allegiant Air,Financial^,A320,A319-100,2729,N325NV,In Service,Passenger,United States of America,North America,CFM56-5B,15.833,2016-03-29,,No
easyJet,Luton Aircraft Leasing (Ireland) Limited,Deucalion Aviation,Financial^,A320,A319-100,2735,G-EZAI,In Service,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,15.75,2006-04-06,,No
Lucky Air,Hainan Airlines,Hainan Airlines,Operating^,A320,A319-100,2746,B-6221,Inactive,Passenger,China,Asia: North East Asia,CFM56-5B,15.75,2007-06-26,,No
Vueling,AerCap,AerCap,Operating^,A320,A319-100,2751,EC-NGB,In Service,Passenger,Spain,Europe: Western Europe,CFM56-5B,15.667,2019-08-16,,No
easyJet,Aircastle,Aircastle,Operating^,A320,A319-100,2769,G-EZAO,Inactive,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,15.667,2006-05-09,,No
easyJet,Aircastle,Aircastle,Operating^,A320,A319-100,2779,G-EZAS,Inactive,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,15.583,2006-05-24,,No
Allegiant Air,Sunrise Asset Management LLC,Allegiant Air,Financial^,A320,A319-100,2786,N330NV,In Service,Passenger,United States of America,North America,CFM56-5B,15.583,2016-11-22,,No
Allegiant Air,Sunrise Asset Management LLC,Sunrise Asset Management LLC,Financial^,A320,A319-100,2790,N333NV,In Service,Passenger,United States of America,North America,CFM56-5B,15.583,2017-10-27,,No
easyJet,Aircastle,Aircastle,Operating^,A320,A319-100,2795,G-EZAU,Inactive,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,15.583,2006-06-09,,No
easyJet,Aircastle,Aircastle,Operating^,A320,A319-100,2803,G-EZAV,Inactive,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,15.583,2006-06-22,,No
easyJet,Willis Lease Finance Corporation,Willis Lease Finance Corporation,Operating^,A320,A319-100,2812,G-EZAW,Inactive,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,15.5,2006-07-04,,No
easyJet,Aircastle,Aircastle,Operating^,A320,A319-100,2818,G-EZAX,Inactive,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,15.5,2006-07-06,,No
Allegiant Air,Sunrise Asset Management LLC,Allegiant Air,Financial^,A320,A319-100,2821,N328NV,In Service,Passenger,United States of America,North America,CFM56-5B,15.5,2016-03-23,,No
easyJet,Willis Lease Finance Corporation,Willis Lease Finance Corporation,Operating^,A320,A319-100,2827,G-EZAY,Inactive,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,15.417,2006-07-12,,No
easyJet Europe,Willis Lease Finance Corporation,Willis Lease Finance Corporation,Operating^,A320,A319-100,2829,OE-LKI,In Service,Passenger,Austria,Europe: Western Europe,CFM56-5B,15.5,2006-07-28,,No
Allegiant Air,Sunrise Asset Management LLC,Sunrise Asset Management LLC,Financial^,A320,A319-100,2831,N334NV,In Service,Passenger,United States of America,North America,CFM56-5B,15.417,2017-12-22,,No
Allegiant Air,Sunrise Asset Management LLC,Sunrise Asset Management LLC,Financial^,A320,A319-100,2852,N335NV,In Service,Passenger,United States of America,North America,CFM56-5B,15.333,2018-04-06,,No
easyJet,Willis Lease Finance Corporation,Willis Lease Finance Corporation,Operating^,A320,A319-100,2854,G-EZBB,In Service,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,15.417,2006-08-09,,No
easyJet,Willis Lease Finance Corporation,Willis Lease Finance Corporation,Operating^,A320,A319-100,2860,G-EZBA,Inactive,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,15.333,2006-08-18,,No
easyJet,Willis Lease Finance Corporation,Willis Lease Finance Corporation,Operating^,A320,A319-100,2866,G-EZBC,In Service,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,15.333,2006-09-05,2022-07-31,No
Volotea,Stellar 2021-1,Deucalion Aviation,Operating,A320,A319-100,2870,EC-NHP,In Service,Passenger,Spain,Europe: Western Europe,CFM56-5B,15.333,2020-06-10,2028-12-31,No
easyJet,Willis Lease Finance Corporation,Willis Lease Finance Corporation,Operating^,A320,A319-100,2873,G-EZBD,Inactive,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,15.333,2006-09-13,,No
Allegiant Air,Sunrise Asset Management LLC,Allegiant Air,Financial^,A320,A319-100,2876,N329NV,In Service,Passenger,United States of America,North America,CFM56-5B,15.333,2016-12-20,,No
Volotea,AerCap,AerCap,Operating^,A320,A319-100,2879,EC-NGL,In Service,Passenger,Spain,Europe: Western Europe,CFM56-5B,15.333,2019-06-07,,No
easyJet,Willis Lease Finance Corporation,Willis Lease Finance Corporation,Operating^,A320,A319-100,2884,G-EZBE,In Service,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,15.25,2006-11-28,,No
easyJet,Willis Lease Finance Corporation,Willis Lease Finance Corporation,Financial^,A320,A319-100,2923,G-EZBF,In Service,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,15.167,2006-11-02,,No
easyJet Europe,Willis Lease Finance Corporation,Willis Lease Finance Corporation,Operating^,A320,A319-100,2946,OE-LKJ,In Service,Passenger,Austria,Europe: Western Europe,CFM56-5B,15.83,2006-11-24,,No
easyJet,Aircastle,Aircastle,Operating^,A320,A319-100,2959,G-EZBH,Inactive,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,15.83,2019-11-15,,No
Eurowings,Unknown,SMBC Aviation Capital,Operating^,A320,A319-100,2976,D-AGWC,In Service,Passenger,Germany,Europe: Western Europe,V2500,15,2007-01-09,,No
Volaris Costa Rica,Stellar 2021-1,Deucalion Aviation,Operating,A320,A319-100,2979,N501VL,In Service,Passenger,Costa Rica,Latin America: Central America,V2500,15,2007-01-19,2022-09-30,No
Volaris,AASET 2019-2,Carlyle Aviation Partners,Operating,A320,A319-100,2997,XA-VOC,In Service,Passenger,Mexico,Latin America: Central America,V2500,15,2007-01-17,2025-01-31,No
easyJet,Unknown,Unknown,Operating^,A320,A319-100,3003,G-EZBI,Inactive,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,15,2007-02-06,,No
Eurowings,Unknown,SMBC Aviation Capital,Operating^,A320,A319-100,3011,D-AGWD,In Service,Passenger,Germany,Europe: Western Europe,V2500,14.917,2007-01-24,,No
Vueling,AerCap,AerCap,Operating^,A320,A319-100,3028,EC-MGF,In Service,Passenger,Spain,Europe: Western Europe,CFM56-5B,14.917,2015-07-09,,No
easyJet,Aircastle,Aircastle,Operating^,A320,A319-100,3036,G-EZBJ,In Service,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,14.833,2019-11-15,,No
easyJet Europe,Aircastle,Aircastle,Operating^,A320,A319-100,3053,OE-LQT,In Service,Passenger,Austria,Europe: Western Europe,CFM56-5B,14.833,2007-03-14,,No
Vueling,Seraph Aviation Management,Seraph Aviation Management,Operating^,A320,A319-100,3054,EC-MKX,Inactive,Passenger,Spain,Europe: Western Europe,CFM56-5B,14.833,2016-04-18,,No
easyJet Europe,Aircastle,Aircastle,Operating^,A320,A319-100,3059,OE-LQZ,In Service,Passenger,Austria,Europe: Western Europe,CFM56-5B,14.75,2019-11-15,,No
easyJet Europe,Aircastle,Aircastle,Operating^,A320,A319-100,3061,OE-LKQ,In Service,Passenger,Austria,Europe: Western Europe,CFM56-5B,14.75,2019-11-15,,No
Volaris,Aviator Capital,Aviator Capital,Operating^,A320,A319-100,3069,XA-VOE,In Service,Passenger,Mexico,Latin America: Central America,V2500,14.75,2007-03-16,,No
easyJet,Aircastle,Aircastle,Operating^,A320,A319-100,3082,G-EZBO,In Service,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,14.75,2007-04-04,,No
Allegiant Air,Sunrise Asset Management LLC,Sunrise Asset Management LLC,Financial^,A320,A319-100,3084,N309NV,In Service,Passenger,United States of America,North America,CFM56-5B,14.75,2017-04-12,,No
easyJet,Aircastle,Aircastle,Operating^,A320,A319-100,3088,G-EZBR,In Service,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,14.75,2007-04-26,,No
easyJet,Aircastle,Aircastle,Operating^,A320,A319-100,3090,G-EZBT,Inactive,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,14.75,2019-11-15,,No
Vueling,Seraph Aviation Management,Seraph Aviation Management,Operating^,A320,A319-100,3102,EC-MKV,In Service,Passenger,Spain,Europe: Western Europe,CFM56-5B,14.667,2016-06-23,,No
easyJet,Aircastle,Aircastle,Operating^,A320,A319-100,3118,G-EZBU,In Service,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,14.583,2007-05-14,,No
easyJet,Aircastle,Aircastle,Operating^,A320,A319-100,3122,G-EZBV,Inactive,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,14.583,2019-11-15,,No
Vueling,Seraph Aviation Management,Seraph Aviation Management,Operating^,A320,A319-100,3169,EC-MIQ,In Service,Passenger,Spain,Europe: Western Europe,CFM56-5B,14.5,2015-12-17,,No
easyJet,Easyjet Leasing Ltd,Easyjet Leasing Ltd,Operating^,A320,A319-100,3184,G-EZBZ,In Service,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,14.5,2007-07-13,,No
Eurowings,Skandinaviska Enskilda Banken,Skandinaviska Enskilda Banken,Operating^,A320,A319-100,3202,D-ASTX,In Service,Passenger,Germany,Europe: Western Europe,CFM56-5B,14.417,2014-04-01,,No
Eurowings,Bank Of Communications Financial Leasing,Bank Of Communications Financial Leasing,Operating^,A320,A319-100,3245,D-ABGH,In Service,Passenger,Germany,Europe: Western Europe,CFM56-5B,14.333,2015-06-15,,No
Volotea,AWAS,Dubai Aerospace Enterprise Capital,Operating^,A320,A319-100,3364,EC-NDG,In Service,Passenger,Spain,Europe: Western Europe,CFM56-5B,13.917,2019-04-24,,No
Vueling,Seraph Aviation Management,Seraph Aviation Management,Operating^,A320,A319-100,3377,EC-MIR,Inactive,Passenger,Spain,Europe: Western Europe,CFM56-5B,13.917,2015-11-20,,No
Volotea,AWAS,Dubai Aerospace Enterprise Capital,Operating^,A320,A319-100,3403,EC-NDH,In Service,Passenger,Spain,Europe: Western Europe,CFM56-5B,13.833,2019-05-31,,No
easyJet,Aero Capital Solutions Inc,Aero Capital Solutions Inc,Operating^,A320,A319-100,3432,G-EZDF,In Service,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,13.75,2020-06-30,,No
easyJet,Aero Capital Solutions Inc,Aero Capital Solutions Inc,Operating^,A320,A319-100,3442,G-EZDD,Inactive,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,13.75,2020-06-30,,No
easyJet,Aero Capital Solutions Inc,Aero Capital Solutions Inc,Operating^,A320,A319-100,3466,G-EZDH,Inactive,Passenger,United Kingdom,Europe: Western Europe,CFM56-5B,13.667,2020-06-30,,No
Volaris Costa Rica,UMB Bank Trustee,UMB Bank Trustee,Operating^,A320,A319-100,3491,N503VL,In Service,Passenger,Costa Rica,Latin America: Central America,V2500,13.667,2010-09-21,,No
Beijing Capital Airlines,Hainan Airlines,Hainan Airlines,Operating^,A320,A319-100,3520,B-6182,In Service,Passenger,China,Asia: North East Asia,V2500,13.417,2010-05-04,,No
